Nguyễn Xuân Nam,0,Tiền đạo,181,72,1/18/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_7_NguyenXuanNam_VN001895-150x150.jpg
Fialho De Aquino Junior Janio,0,Tiền đạo,0,0,,https://vpf.vn/wp-content/uploads/2018/12/CAHN_8_FialhoDeAquinoJuniorJanio_VN001897-150x150.jpg
Jeferson Elias,0,Tiền đạo,186,78,1/12/1998,https://vpf.vn/wp-content/uploads/2023/01/CAHN_9_Braga-Montimor-Jeferson-Elias-150x150.jpg
Lê Phạm Thành Long,0,Tiền vệ,165,64,6/5/1996,https://vpf.vn/wp-content/uploads/2018/12/CAHN_11_LePhamThanhLong_VN001901-150x150.jpg
Hoàng Văn Toản,0,Tiền vệ,175,70,4/1/2001,https://vpf.vn/wp-content/uploads/2018/12/CAHN_12_HoangVanToan_VN001902-150x150.jpg
Bùi Xuân Thịnh,0,Hậu vệ,169,64,9/15/2001,https://vpf.vn/wp-content/uploads/2021/03/P-NB_29_BuiXuanThinh_VN001519-150x150.jpg
Bùi Tiến Dụng,0,Hậu vệ,176,74,11/23/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_16_BuiTienDung_VN001904-150x150.jpg
Vũ Văn Thanh,0,Hậu vệ,172,73,4/14/1996,https://vpf.vn/wp-content/uploads/2018/12/CAHN_17_VuVanThanh_VN001905-150x150.jpg
Hồ Ngọc Thắng,0,Tiền đạo,178,73,2/10/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_18_HoNgocThang_VN001906-150x150.jpg
Nguyễn Quang Hải,0,Tiền vệ,166,65,4/12/1997,https://vpf.vn/wp-content/uploads/2018/12/CAHN_19_NguyenQuangHai_VN001907-150x150.jpg
Phạm Văn Luân,0,Tiền vệ,169,63,5/26/1999,https://vpf.vn/wp-content/uploads/2018/12/CAHN_21_PhamVanLuan_VN001908-150x150.jpg
Trần Văn Trung,0,Tiền vệ,168,63,1/27/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_22_TranVanTrung_VN001909-150x150.jpg
